Employee_ID,First_Name,Last_Name,Date_of_Birth,Income,Department,Employee_Name
17884,Amber,Snyder,1976-12-28,50000,Sales Support,Amber Snyder
34073,Sean,Mcguire,1969-03-15,70000,Account Executives,Sean Mcguire
82298,Nathan,Howard,1971-07-28,80000,Sales Operations,Nathan Howard
54434,Linda,Gardner,1982-03-15,90000,Sales Management,Linda Gardner
32323,Robin,Villegas,1990-01-02,60000,Account Executives,Robin Villegas
50386,Brady,Powers,1973-04-27,50000,Marketing,Brady Powers
27423,Kaitlyn,Moore,1981-11-21,60000,Marketing,Kaitlyn Moore
93926,Katie,Gray,1968-11-23,50000,Sales Support,Katie Gray
47479,Kirsten,Mata,1992-01-23,70000,Sales Management,Kirsten Mata
22815,Anthony,Mccarthy,1991-06-24,50000,Account Executives,Anthony Mccarthy
57972,Dakota,White,1970-07-04,90000,Sales Operations,Dakota White
39850,Stephanie,Wheeler,1990-03-25,90000,Product Manager,Stephanie Wheeler
89743,Adam,Fernandez,1971-11-15,90000,Product Manager,Adam Fernandez
18857,Douglas,Hughes,1986-05-08,50000,Product Manager,Douglas Hughes
10683,Douglas,Mckinney,1968-04-02,60000,Sales Operations,Douglas Mckinney
70815,Don,Rivera,1987-06-01,50000,Product Manager,Don Rivera
83064,James,Mendoza,1976-02-22,50000,Sales Support,James Mendoza
17885,Kira,Moore,1976-12-28,50000,Sales Support,Kira Moore
87460,Stephanie,Willis,1983-01-26,90000,Marketing,Stephanie Willis
10548,Pamela,Potter,1967-02-11,80000,Sales Operations,Pamela Potter
53622,Alexandria,Powell,1987-02-08,90000,Product Manager,Alexandria Powell
14984,Catherine,Diaz,1984-08-20,60000,Sales Management,Catherine Diaz
18954,Valerie,Hunter,1989-02-15,70000,Sales Management,Valerie Hunter
28727,Amanda,Evans,1978-06-26,60000,Sales Management,Amanda Evans
35886,Johnathan,Riley,1966-03-12,70000,Sales Operations,Johnathan Riley
44048,Lance,Whitney,1977-04-09,90000,Product Manager,Lance Whitney
65327,Anthony,Anderson,1991-03-30,70000,Marketing,Anthony Anderson
56262,Brittney,Pearson,1970-10-03,60000,Marketing,Brittney Pearson
20758,Ryan,Lee,1963-11-22,60000,Sales Operations,Ryan Lee
31778,Kelly,Miller,1980-07-13,50000,Marketing,Kelly Miller
89048,Amy,Savage,1972-07-04,50000,Sales Management,Amy Savage
17682,Julian,Brown,1987-12-28,50000,Sales Management,Julian Brown
27445,Jessica,Nelson,1978-10-22,90000,Marketing,Jessica Nelson
78415,Lindsey,Clark,1970-06-02,50000,Product Manager,Lindsey Clark
52371,Kenneth,Wagner,1974-11-03,70000,Sales Operations,Kenneth Wagner
40456,Jonathan,Roberts,1989-12-01,90000,Sales Operations,Jonathan Roberts
53061,Patrick,Young,1985-07-13,50000,Product Manager,Patrick Young
24541,Lori,Brown,1990-02-05,60000,Account Executives,Lori Brown
66824,Nicole,Berry,1967-02-15,50000,Sales Management,Nicole Berry
34867,Sara,Mitchell,1983-11-05,50000,Sales Management,Sara Mitchell
92367,Kent,Huerta,1963-12-14,70000,Sales Management,Kent Huerta
87074,Mary,Thompson,1997-09-26,50000,Account Executives,Mary Thompson
92800,Brandon,Davis,1965-10-16,70000,Sales Management,Brandon Davis
99636,Melissa,Carter,1975-10-03,80000,Sales Support,Melissa Carter
22681,Jodi,Garcia,1990-05-11,50000,Sales Support,Jodi Garcia
39176,Kathryn,Davis,1985-07-21,70000,Account Executives,Kathryn Davis
32096,Paul,Jones,1981-05-30,60000,Sales Support,Paul Jones
23673,Joshua,Zavala,1964-03-28,60000,Sales Operations,Joshua Zavala
28726,Thomas,Monroe,1996-07-04,90000,Sales Management,Thomas Monroe
24263,Dan,Gill,1978-02-28,70000,Marketing,Dan Gill
42244,Jerome,Jones,1992-02-12,60000,Sales Support,Jerome Jones
87526,Mary,Spence,1963-06-04,50000,Marketing,Mary Spence
62660,Gabriel,Williams,1964-04-21,50000,Marketing,Gabriel Williams
17226,Daniel,Deleon,1982-04-04,70000,Sales Management,Daniel Deleon
12747,Christina,Garcia,1975-04-23,90000,Sales Operations,Christina Garcia
76504,Janet,Hansen,1975-07-12,80000,Product Manager,Janet Hansen
83261,Sandra,Mitchell,1996-06-20,80000,Product Manager,Sandra Mitchell
53678,Kevin,Shields,1980-08-22,90000,Sales Operations,Kevin Shields
71182,Paula,Miller,1994-03-16,70000,Sales Operations,Paula Miller
72157,Christine,Gallegos,1992-01-15,80000,Sales Support,Christine Gallegos
11047,David,Guzman,1994-07-09,50000,Sales Management,David Guzman
68326,Leslie,Benson,1966-05-18,90000,Sales Operations,Leslie Benson
77779,Kara,Berger,1992-11-17,90000,Marketing,Kara Berger
65509,Jillian,Martin,1976-07-04,70000,Sales Management,Jillian Martin
67778,Francisco,Miles,1979-08-24,50000,Product Manager,Francisco Miles
22968,Robert,Lee,1990-11-05,50000,Product Manager,Robert Lee
