Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,State,City,Postal_Code,Region,Product_ID,Sales,Quantity,Discount,Profit,Employee_ID
1,ORD-20200301-152,2023-10-04,2023-10-13,Standard Class,CUST-20050508-695,Shawn Moran,Corporate,Australia,New South Wales,Sydney,2000,Oceania,PROD-FUR-TAB-DIN,1295.43,8,0.01,370.71,17884
2,ORD-20230529-843,2022-07-15,2022-07-22,Same Day,CUST-19430517-875,Hannah Gordon,Consumer,Japan,Tokyo,Shinjuku,160-0022,Asia,PROD-TEC-CAM-MIR,7543.82,1,0.01,490.23,34073
3,ORD-20231111-792,2021-06-12,2021-06-18,Standard Class,CUST-19430517-875,Hannah Gordon,Consumer,Japan,Tokyo,Osaka,541-0053,Asia,PROD-TEC-ACC-KEY,4992.20,3,0.12,154.37,34073
4,ORD-20210913-695,2023-02-12,2023-02-19,Same Day,CUST-19331210-656,Alex Davis,Corporate,United States,California,Los Angeles,90001,North America,PROD-OFF-BIN-RIN,7082.43,6,0.12,137.51,82298
5,ORD-20210903-473,2021-11-28,2021-12-07,Standard Class,CUST-20050508-695,Shawn Moran,Corporate,Australia,New South Wales,Melbourne,3000,Oceania,PROD-FUR-CHA-ACC,2198.03,9,0.33,131.92,17884
6,ORD-20210529-458,2021-04-28,2021-05-01,Same Day,CUST-19801105-191,Alexandra Ayers,Consumer,United Kingdom,England,London,SW1A 1AA,Europe,PROD-TEC-OFF-FAX,1468.53,9,0.37,121.09,54434
7,ORD-20201020-764,2022-11-01,2022-11-05,First Class,CUST-19700515-326,Kimberly Montes,Corporate,Italy,Lombardy,Milan,20121,Europe,PROD-OFF-PHO-TAB,3788.73,2,0.35,164.14,32323
8,ORD-20200614-183,2020-09-25,2020-10-01,Standard Class,CUST-19150421-589,Thomas Lawrence,Consumer,Argentina,Buenos Aires,Buenos Aires,C1002ABL,South America,PROD-TEC-CAM-ACT,6146.93,3,0.29,116.10,50386
9,ORD-20220904-853,2020-10-28,2020-11-04,First Class,CUST-20220325-218,Miguel Castillo,Consumer,France,Ile-de-France,Paris,75001,Europe,PROD-TEC-OFF-PRI,237.77,8,0.09,344.21,27423
10,ORD-20220116-101,2020-11-02,2020-11-11,Same Day,CUST-19920311-620,Alyssa Thornton,Home Office,Sweden,Stockholm,Stockholm,111 29,Europe,PROD-FUR-TAB-CON,636.10,7,0.49,41.67,93926
11,ORD-20230203-547,2022-09-05,2022-09-12,Second Class,CUST-19630921-435,Melissa Murphy,Consumer,Germany,Bavaria,Munich,80331,Europe,PROD-TEC-CAM-DIG,5216.17,6,0.03,435.30,47479
12,ORD-20200208-807,2021-07-30,2021-07-31,First Class,CUST-19990910-393,Charles Gentry,Corporate,Russia,Moscow,Moscow,101000,Europe,PROD-OFF-PAP-STI,8316.41,2,0.03,335.95,22815
13,ORD-20220325-152,2023-08-27,2023-08-29,First Class,CUST-20050508-695,Shawn Moran,Corporate,Australia,Queensland,Brisbane,4000,Oceania,PROD-FUR-STO-DRA,1691.46,5,0.43,103.58,57972
14,ORD-20200422-936,2021-04-29,2021-05-06,First Class,CUST-19990910-393,Charles Gentry,Corporate,Russia,Moscow,Saint Petersburg,190000,Europe,PROD-TEC-CAM-WEB,4630.51,8,0.36,146.09,22815
15,ORD-20210901-598,2021-08-17,2021-08-22,Same Day,CUST-19430517-875,Hannah Gordon,Consumer,Japan,Osaka,Kobe,650-0011,Asia,PROD-OFF-PAP-STI,315.10,8,0.24,324.72,39850
16,ORD-20210718-610,2020-11-17,2020-11-21,Same Day,CUST-20191014-278,Eric Mueller,Consumer,Netherlands,North Holland,Amsterdam,1012 JS,Europe,PROD-FUR-CHA-ACC,4477.25,4,0.35,84.60,89743
17,ORD-20220509-535,2022-02-24,2022-03-05,Same Day,CUST-19530429-452,Robert Mcfarland,Home Office,Canada,Ontario,Toronto,M5A 1A1,North America,PROD-OFF-BIN-ZIP,5898.46,6,0.36,168.61,18857
18,ORD-20230117-358,2020-07-30,2020-08-04,Standard Class,CUST-19530429-452,Robert Mcfarland,Home Office,Canada,Ontario,Montreal,H2X 1L4,North America,PROD-FUR-CHA-OFF,1027.34,9,0.48,224.26,18857
19,ORD-20201227-491,2020-08-05,2020-08-12,First Class,CUST-19530429-452,Robert Mcfarland,Home Office,Canada,Alberta,Calgary,T2P 1J9,North America,PROD-FUR-CHA-REC,7057.44,2,0.21,52.32,10683
20,ORD-20220210-657,2020-03-22,2020-03-27,Same Day,CUST-19150421-589,Thomas Lawrence,Consumer,Argentina,Buenos Aires,Cordoba,5000,South America,PROD-OFF-PHO-OFF,6567.66,6,0.35,79.94,50386
21,ORD-20210116-140,2023-09-10,2023-09-17,Second Class,CUST-20221007-169,Brandon Tyler,Home Office,South Africa,Gauteng,Johannesburg,2000,Africa,PROD-TEC-OFF-SCA,817.69,6,0.13,153.64,70815
22,ORD-20210928-828,2022-04-23,2022-04-25,Same Day,CUST-20191014-278,Eric Mueller,Consumer,Netherlands,North Holland,Rotterdam,3011 BN,Europe,PROD-FUR-STO-CAB,8261.55,5,0.27,0.61,89743
23,ORD-20210519-698,2020-03-22,2020-03-29,First Class,CUST-19530429-452,Robert Mcfarland,Home Office,Canada,Quebec,Quebec City,G1R 1V4,North America,PROD-FUR-STO-WAR,6070.09,6,0.01,203.62,83064
24,ORD-20210924-737,2023-06-12,2023-06-16,Same Day,CUST-19150421-589,Thomas Lawrence,Consumer,Argentina,Santa Fe,Rosario,2000,South America,PROD-OFF-PAP-SKE,3662.24,9,0.49,341.93,17884
25,ORD-20210813-574,2020-06-30,2020-07-07,Same Day,CUST-19430517-875,Hannah Gordon,Consumer,Japan,Hokkaido,Sapporo,060-0000,Asia,PROD-OFF-BIN-PRE,500.19,8,0.02,-65.28,87460
26,ORD-20210520-534,2022-04-07,2022-04-07,First Class,CUST-20020704-410,Kyle Phillips,Consumer,India,Maharashtra,Mumbai,400001,Asia,PROD-FUR-CHA-ACC,5436.24,4,0.20,400.30,10548
